Orthogroup	pbar_annotation	lhum_annotation
OG0000076	PBAR_11385-RA	LHUM_11300-RA
OG0000076	PBAR_16421-RA	LHUM_11974-RA
OG0000079	PBAR_19414-RA	LHUM_17824-RA
OG0000079	PBAR_16077-RA	LHUM_21966-RA
OG0000079	PBAR_26548-RA	LHUM_25915-RA, LHUM_25927-RA
OG0000081	PBAR_ar_Ddc-1	LHUM_20345-RA
OG0000081	PBAR_15942-RA	LHUM_20333-RA
OG0000081	PBAR_17456-RA	LHUM_24989-RA
OG0000081	PBAR_24364-RA	LHUM_19594-RA, LHUM_19591-RA, LHUM_19592-RA
OG0000082	PBAR_18139-RA	LHUM_24891-RA
OG0000082	PBAR_16064-RA, PBAR_21863-RA	LHUM_21289-RA
OG0000082	PBAR_15222-RA	LHUM_20877-RA, LHUM_21967-RA
OG0000083	PBAR_21553-RA	LHUM_25281-RA, LHUM_11891-RA, LHUM_25442-RA, LHUM_11890-RA, LHUM_11999-RA, LHUM_10514-RA, LHUM_15621-RA, LHUM_13396-RA, LHUM_11891-RB, LHUM_22496-RA
OG0000084	PBAR_17896-RA	LHUM_19568-RA
OG0000084	PBAR_17897-RA	LHUM_19570-RA
OG0000084	PBAR_15161-RA	LHUM_10075-RA, LHUM_23928-RA
OG0000084	CG_02544486, PBAR_ar_for-1, CG_02544470, CG_02544464, CG_02544396	LHUM_um_for-1
OG0000085	PBAR_13931-RA	LHUM_25389-RA
OG0000085	PBAR_17256-RA	LHUM_11871-RB, LHUM_11871-RA
OG0000085	PBAR_26439-RA	LHUM_12493-RA
OG0000085	PBAR_13933-RA	LHUM_21657-RA
OG0000085	PBAR_13932-RA	LHUM_21658-RA
OG0000086	PBAR_26142-RA	LHUM_20664-RA
OG0000086	PBAR_22242-RA	LHUM_11140-RA, LHUM_15676-RA, LHUM_13301-RA, LHUM_24309-RA, LHUM_24303-RA, LHUM_13302-RA, LHUM_11410-RA, LHUM_15675-RA
OG0000087	PBAR_14377-RA, PBAR_12811-RA	LHUM_16203-RA, LHUM_15662-RA, LHUM_10357-RA, LHUM_12810-RA, LHUM_10274-RA, LHUM_10465-RA, LHUM_23231-RA, LHUM_10635-RA, LHUM_11742-RA, LHUM_20014-RA, LHUM_10521-RA, LHUM_25261-RA, LHUM_19915-RA
OG0000089	PBAR_25223-RA	LHUM_15599-RA, LHUM_14704-RA, LHUM_13390-RA, LHUM_10146-RA, LHUM_22763-RA, LHUM_11879-RA, LHUM_25283-RA, LHUM_25524-RA, LHUM_26021-RA, LHUM_15598-RA, LHUM_10842-RA, LHUM_10151-RA, LHUM_25300-RA, LHUM_11492-RA
OG0000090	PBAR_20795-RA	LHUM_12443-RA, LHUM_10873-RA, LHUM_10556-RA, LHUM_10036-RA, LHUM_10085-RA, LHUM_10865-RA, LHUM_18318-RA, LHUM_10869-RA, LHUM_15272-RA, LHUM_14566-RA, LHUM_14983-RA, LHUM_22677-RA, LHUM_14982-RA, LHUM_10124-RA, LHUM_22678-RA
OG0000094	PBAR_19069-RA	LHUM_15639-RA
OG0000094	PBAR_20815-RA	LHUM_16303-RA
OG0000094	PBAR_ar_WBSCR17_like-1	LHUM_14631-RA
OG0000094	PBAR_19694-RA	LHUM_12628-RA
OG0000094	PBAR_21383-RA	LHUM_12506-RA
OG0000095	PBAR_24191-RA	LHUM_23821-RA
OG0000095	PBAR_14640-RA	LHUM_23332-RA
OG0000095	PBAR_18715-RA	LHUM_12385-RA
OG0000095	PBAR_23152-RA	LHUM_24960-RA
OG0000095	PBAR_ar_nAChRa1-RB	LHUM_um_nAChRa1-RA
OG0000096	PBAR_21044-RA, PBAR_21042-RA, PBAR_21047-RA, PBAR_21049-RA, PBAR_21048-RA, PBAR_26857-RA, PBAR_26856-RA, PBAR_21051-RA, PBAR_21050-RA	LHUM_17224-RA
OG0000097	PBAR_23751-RA	LHUM_12623-RA, LHUM_25211-RA, LHUM_18381-RA, LHUM_12622-RA, LHUM_10542-RA, LHUM_17397-RA, LHUM_12522-RA, LHUM_10273-RA, LHUM_25207-RA, LHUM_18710-RA
OG0000101	PBAR_22326-RA	LHUM_13426-RA, LHUM_14700-RA, LHUM_23246-RA, LHUM_23245-RA, LHUM_13429-RA, LHUM_10367-RA, LHUM_14702-RA, LHUM_13433-RA, LHUM_13431-RA, LHUM_14406-RA, LHUM_13432-RA, LHUM_13434-RA
OG0000102	PBAR_15501-RA, PBAR_11181-RA, PBAR_13915-RA, PBAR_19173-RA, PBAR_15334-RA	LHUM_16742-RA, LHUM_20685-RA
OG0000102	PBAR_10132-RA, PBAR_19178-RA, PBAR_15496-RA, PBAR_23547-RA	LHUM_18425-RA
OG0000103	PBAR_13287-RA, PBAR_15154-RA, PBAR_10046-RA, PBAR_13132-RA, PBAR_13284-RA	LHUM_13188-RA
OG0000104	PBAR_20082-RA	LHUM_24163-RA
OG0000104	PBAR_14034-RA	LHUM_14993-RA
OG0000104	PBAR_25199-RA, PBAR_13469-RA	LHUM_12316-RA
OG0000104	PBAR_11787-RA	LHUM_11235-RA
OG0000105	PBAR_16074-RA	LHUM_21983-RA, LHUM_25916-RA
OG0000105	PBAR_15223-RA, PBAR_15670-RA, PBAR_12154-RA, PBAR_26549-RA	LHUM_20876-RA
OG0000106	PBAR_25517-RA	LHUM_15490-RA
OG0000106	PBAR_11759-RA	LHUM_12609-RA
OG0000106	PBAR_21230-RA	LHUM_15712-RA
OG0000106	PBAR_21278-RA	LHUM_20262-RA
OG0000107	PBAR_23684-RA	LHUM_18727-RA
OG0000107	PBAR_26838-RA, PBAR_20696-RA, PBAR_13582-RA, PBAR_26836-RA, PBAR_26837-RA	LHUM_21199-RA
OG0000107	PBAR_23685-RA, PBAR_23683-RA, PBAR_26835-RA	LHUM_18732-RA
OG0000109	PBAR_14298-RA	LHUM_16352-RA
